Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon1,Weapon2
0,0,10,2138.38,1308,1640.15,Master,Endless
0,1,9,2122.83,1298.94,1641.68,Master,Endless
0,2,8,2107.42,1289.95,1643.1,Master,Endless
0,3,7,2092.14,1281.04,1644.41,Master,Endless
0,4,6,2076.98,1272.2,1645.62,Master,Endless
0,5,5,2061.95,1263.44,1646.72,Master,Endless
0,6,4,2047.05,1254.74,1647.73,Master,Endless
0,7,3,2032.27,1246.12,1648.63,Master,Endless
0,8,2,2017.61,1237.57,1649.43,Master,Endless
0,9,1,2003.07,1229.09,1650.13,Master,Endless
0,10,0,1988.64,1220.68,1650.74,Master,Endless
1,0,9,2144.02,1298.94,1642.89,Master,Endless
1,1,8,2128.44,1289.95,1644.63,Master,Endless
1,2,7,2113,1281.04,1646.27,Master,Endless
1,3,6,2097.68,1272.2,1647.79,Master,Endless
1,4,5,2082.49,1263.44,1649.21,Master,Endless
1,5,4,2067.42,1254.74,1650.52,Master,Endless
1,6,3,2052.48,1246.12,1651.72,Master,Endless
1,7,2,2037.66,1237.57,1652.82,Master,Endless
1,8,1,2022.97,1229.09,1653.82,Master,Endless
1,9,0,2008.39,1220.68,1654.71,Master,Endless
2,0,8,2149.46,1289.95,1645.79,Master,Endless
2,1,7,2133.85,1281.04,1647.75,Master,Endless
2,2,6,2118.37,1272.2,1649.59,Master,Endless
2,3,5,2103.02,1263.44,1651.32,Master,Endless
2,4,4,2087.8,1254.74,1652.94,Master,Endless
2,5,3,2072.7,1246.12,1654.45,Master,Endless
2,6,2,2057.72,1237.57,1655.85,Master,Endless
2,7,1,2042.87,1229.09,1657.14,Master,Endless
2,8,0,2028.14,1220.68,1658.32,Master,Endless
3,0,7,2154.71,1281.04,1648.85,Master,Endless
3,1,6,2139.07,1272.2,1651.02,Master,Endless
3,2,5,2123.55,1263.44,1653.07,Master,Endless
3,3,4,2108.17,1254.74,1655,Master,Endless
3,4,3,2092.91,1246.12,1656.82,Master,Endless
3,5,2,2077.78,1237.57,1658.52,Master,Endless
3,6,1,2062.77,1229.09,1660.11,Master,Endless
3,7,0,2047.89,1220.68,1661.58,Master,Endless
4,0,6,2159.76,1272.2,1652.08,Master,Endless
4,1,5,2144.09,1263.44,1654.44,Master,Endless
4,2,4,2128.54,1254.74,1656.69,Master,Endless
4,3,3,2113.13,1246.12,1658.82,Master,Endless
4,4,2,2097.84,1237.57,1660.82,Master,Endless
4,5,1,2082.67,1229.09,1662.71,Master,Endless
4,6,0,2067.63,1220.68,1664.49,Master,Endless
5,0,5,2164.62,1263.44,1655.45,Master,Endless
5,1,4,2148.92,1254.74,1658.02,Master,Endless
5,2,3,2133.34,1246.12,1660.45,Master,Endless
5,3,2,2117.9,1237.57,1662.77,Master,Endless
5,4,1,2102.58,1229.09,1664.96,Master,Endless
5,5,0,2087.38,1220.68,1667.03,Master,Endless
6,0,4,2169.29,1254.74,1658.97,Master,Endless
6,1,3,2153.56,1246.12,1661.73,Master,Endless
6,2,2,2137.95,1237.57,1664.35,Master,Endless
6,3,1,2122.48,1229.09,1666.85,Master,Endless
6,4,0,2107.13,1220.68,1669.22,Master,Endless
7,0,3,2173.77,1246.12,1662.64,Master,Endless
7,1,2,2158.01,1237.57,1665.58,Master,Endless
7,2,1,2142.38,1229.09,1668.39,Master,Endless
7,3,0,2126.88,1220.68,1671.06,Master,Endless
8,0,2,2178.07,1237.57,1666.44,Master,Endless
8,1,1,2162.28,1229.09,1669.56,Master,Endless
8,2,0,2146.62,1220.68,1672.54,Master,Endless
9,0,1,2182.18,1229.09,1670.38,Master,Endless
9,1,0,2166.37,1220.68,1673.67,Master,Endless
10,0,0,2186.12,1220.68,1674.44,Master,Endless
0,0,10,2364.52,1229.08,1456.17,Black_Cut,Endless
0,1,9,2344.81,1219.52,1462.58,Black_Cut,Endless
0,2,8,2325.31,1210.06,1468.8,Black_Cut,Endless
0,3,7,2306.02,1200.71,1474.83,Black_Cut,Endless
0,4,6,2286.95,1191.46,1480.67,Black_Cut,Endless
0,5,5,2268.08,1182.31,1486.32,Black_Cut,Endless
0,6,4,2249.41,1173.25,1491.79,Black_Cut,Endless
0,7,3,2230.94,1164.3,1497.09,Black_Cut,Endless
0,8,2,2212.67,1155.43,1502.21,Black_Cut,Endless
0,9,1,2194.59,1146.67,1507.15,Black_Cut,Endless
0,10,0,2176.71,1137.99,1511.93,Black_Cut,Endless
1,0,9,2373.74,1219.52,1458.45,Black_Cut,Endless
1,1,8,2353.99,1210.06,1465.16,Black_Cut,Endless
1,2,7,2334.44,1200.71,1471.67,Black_Cut,Endless
1,3,6,2315.12,1191.46,1477.99,Black_Cut,Endless
1,4,5,2296,1182.31,1484.12,Black_Cut,Endless
1,5,4,2277.08,1173.25,1490.05,Black_Cut,Endless
1,6,3,2258.37,1164.3,1495.8,Black_Cut,Endless
1,7,2,2239.86,1155.43,1501.36,Black_Cut,Endless
1,8,1,2221.54,1146.67,1506.75,Black_Cut,Endless
1,9,0,2203.42,1137.99,1511.95,Black_Cut,Endless
2,0,8,2382.66,1210.06,1461,Black_Cut,Endless
2,1,7,2362.87,1200.71,1468.01,Black_Cut,Endless
2,2,6,2343.29,1191.46,1474.81,Black_Cut,Endless
2,3,5,2323.92,1182.31,1481.41,Black_Cut,Endless
2,4,4,2304.75,1173.25,1487.81,Black_Cut,Endless
2,5,3,2285.8,1164.3,1494.02,Black_Cut,Endless
2,6,2,2267.04,1155.43,1500.03,Black_Cut,Endless
2,7,1,2248.49,1146.67,1505.86,Black_Cut,Endless
2,8,0,2230.12,1137.99,1511.5,Black_Cut,Endless
3,0,7,2391.29,1200.71,1463.83,Black_Cut,Endless
3,1,6,2371.45,1191.46,1471.12,Black_Cut,Endless
3,2,5,2351.84,1182.31,1478.2,Black_Cut,Endless
3,3,4,2332.43,1173.25,1485.07,Black_Cut,Endless
3,4,3,2313.23,1164.3,1491.74,Black_Cut,Endless
3,5,2,2294.23,1155.43,1498.21,Black_Cut,Endless
3,6,1,2275.43,1146.67,1504.49,Black_Cut,Endless
3,7,0,2256.83,1137.99,1510.57,Black_Cut,Endless
4,0,6,2399.62,1191.46,1466.92,Black_Cut,Endless
4,1,5,2379.75,1182.31,1474.48,Black_Cut,Endless
4,2,4,2360.1,1173.25,1481.83,Black_Cut,Endless
4,3,3,2340.65,1164.3,1488.97,Black_Cut,Endless
4,4,2,2321.41,1155.43,1495.9,Black_Cut,Endless
4,5,1,2302.38,1146.67,1502.63,Black_Cut,Endless
4,6,0,2283.54,1137.99,1509.15,Black_Cut,Endless
5,0,5,2407.67,1182.31,1470.27,Black_Cut,Endless
5,1,4,2387.77,1173.25,1478.1,Black_Cut,Endless
5,2,3,2368.08,1164.3,1485.71,Black_Cut,Endless
5,3,2,2348.6,1155.43,1493.1,Black_Cut,Endless
5,4,1,2329.33,1146.67,1500.28,Black_Cut,Endless
5,5,0,2310.25,1137.99,1507.25,Black_Cut,Endless
6,0,4,2415.44,1173.25,1473.86,Black_Cut,Endless
6,1,3,2395.51,1164.3,1481.95,Black_Cut,Endless
6,2,2,2375.79,1155.43,1489.81,Black_Cut,Endless
6,3,1,2356.27,1146.67,1497.45,Black_Cut,Endless
