Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon
0,0,10,1644.98,1059.29,1059.29,Black_Cut
0,1,9,1628.41,1049.53,1058.79,Black_Cut
0,2,8,1612.05,1039.88,1058.19,Black_Cut
0,3,7,1595.9,1030.36,1057.51,Black_Cut
0,4,6,1579.94,1020.96,1056.73,Black_Cut
0,5,5,1564.18,1011.67,1055.87,Black_Cut
0,6,4,1548.61,1002.49,1054.92,Black_Cut
0,7,3,1533.23,993.421,1053.88,Black_Cut
0,8,2,1518.03,984.462,1052.76,Black_Cut
0,9,1,1503.01,975.611,1051.56,Black_Cut
0,10,0,1488.17,966.863,1050.27,Black_Cut
1,0,9,1649.25,1049.53,1053.72,Black_Cut
1,1,8,1632.65,1039.88,1053.52,Black_Cut
1,2,7,1616.26,1030.36,1053.21,Black_Cut
1,3,6,1600.07,1020.96,1052.81,Black_Cut
1,4,5,1584.07,1011.67,1052.31,Black_Cut
1,5,4,1568.27,1002.49,1051.71,Black_Cut
1,6,3,1552.66,993.421,1051.02,Black_Cut
1,7,2,1537.23,984.462,1050.24,Black_Cut
1,8,1,1521.99,975.611,1049.37,Black_Cut
1,9,0,1506.93,966.863,1048.41,Black_Cut
2,0,8,1653.25,1039.88,1048.47,Black_Cut
2,1,7,1636.62,1030.36,1048.55,Black_Cut
2,2,6,1620.19,1020.96,1048.52,Black_Cut
2,3,5,1603.96,1011.67,1048.39,Black_Cut
2,4,4,1587.93,1002.49,1048.15,Black_Cut
2,5,3,1572.09,993.421,1047.82,Black_Cut
2,6,2,1556.44,984.462,1047.38,Black_Cut
2,7,1,1540.98,975.611,1046.85,Black_Cut
2,8,0,1525.7,966.863,1046.22,Black_Cut
3,0,7,1656.98,1030.36,1043.52,Black_Cut
3,1,6,1640.31,1020.96,1043.87,Black_Cut
3,2,5,1623.85,1011.67,1044.11,Black_Cut
3,3,4,1607.59,1002.49,1044.24,Black_Cut
3,4,3,1591.52,993.421,1044.26,Black_Cut
3,5,2,1575.65,984.462,1044.17,Black_Cut
3,6,1,1559.97,975.611,1043.98,Black_Cut
3,7,0,1544.47,966.863,1043.68,Black_Cut
4,0,6,1660.44,1020.96,1038.86,Black_Cut
4,1,5,1643.74,1011.67,1039.48,Black_Cut
4,2,4,1627.25,1002.49,1039.97,Black_Cut
4,3,3,1610.96,993.421,1040.35,Black_Cut
4,4,2,1594.86,984.462,1040.62,Black_Cut
4,5,1,1578.95,975.611,1040.77,Black_Cut
4,6,0,1563.24,966.863,1040.81,Black_Cut
5,0,5,1663.63,1011.67,1034.48,Black_Cut
5,1,4,1646.91,1002.49,1035.35,Black_Cut
5,2,3,1630.39,993.421,1036.1,Black_Cut
5,3,2,1614.07,984.462,1036.72,Black_Cut
5,4,1,1597.94,975.611,1037.22,Black_Cut
5,5,0,1582,966.863,1037.6,Black_Cut
6,0,4,1666.57,1002.49,1030.38,Black_Cut
6,1,3,1649.82,993.421,1031.49,Black_Cut
6,2,2,1633.28,984.462,1032.47,Black_Cut
6,3,1,1616.93,975.611,1033.33,Black_Cut
6,4,0,1600.77,966.863,1034.06,Black_Cut
7,0,3,1669.26,993.421,1026.54,Black_Cut
7,1,2,1652.48,984.462,1027.88,Black_Cut
7,2,1,1635.91,975.611,1029.09,Black_Cut
7,3,0,1619.54,966.863,1030.17,Black_Cut
8,0,2,1671.69,984.462,1022.95,Black_Cut
8,1,1,1654.9,975.611,1024.52,Black_Cut
8,2,0,1638.3,966.863,1025.95,Black_Cut
9,0,1,1673.88,975.611,1019.6,Black_Cut
9,1,0,1657.07,966.863,1021.39,Black_Cut
10,0,0,1675.84,966.863,1016.49,Black_Cut
0,0,10,1572.75,1127.68,1216.69,Master
0,1,9,1557.9,1117.66,1212.75,Master
0,2,8,1543.2,1107.74,1208.77,Master
0,3,7,1528.65,1097.92,1204.74,Master
0,4,6,1514.24,1088.2,1200.68,Master
0,5,5,1499.98,1078.58,1196.58,Master
0,6,4,1485.87,1069.06,1192.43,Master
0,7,3,1471.89,1059.63,1188.25,Master
0,8,2,1458.05,1050.29,1184.03,Master
0,9,1,1444.34,1041.04,1179.78,Master
0,10,0,1430.77,1031.88,1175.48,Master
1,0,9,1573.75,1117.66,1212.07,Master
1,1,8,1558.87,1107.74,1208.34,Master
1,2,7,1544.15,1097.92,1204.57,Master
1,3,6,1529.58,1088.2,1200.76,Master
1,4,5,1515.15,1078.58,1196.89,Master
1,5,4,1500.87,1069.06,1192.99,Master
1,6,3,1486.73,1059.63,1189.04,Master
1,7,2,1472.73,1050.29,1185.05,Master
1,8,1,1458.86,1041.04,1181.01,Master
1,9,0,1445.13,1031.88,1176.93,Master
2,0,8,1574.55,1107.74,1207.64,Master
2,1,7,1559.66,1097.92,1204.12,Master
2,2,6,1544.92,1088.2,1200.56,Master
2,3,5,1530.32,1078.58,1196.94,Master
2,4,4,1515.88,1069.06,1193.27,Master
2,5,3,1501.57,1059.63,1189.56,Master
2,6,2,1487.4,1050.29,1185.79,Master
2,7,1,1473.38,1041.04,1181.98,Master
2,8,0,1459.49,1031.88,1178.12,Master
3,0,7,1575.17,1097.92,1203.39,Master
3,1,6,1560.26,1088.2,1200.08,Master
3,2,5,1545.49,1078.58,1196.71,Master
3,3,4,1530.88,1069.06,1193.29,Master
3,4,3,1516.41,1059.63,1189.81,Master
3,5,2,1502.08,1050.29,1186.28,Master
3,6,1,1487.9,1041.04,1182.69,Master
3,7,0,1473.85,1031.88,1179.06,Master
4,0,6,1575.59,1088.2,1199.33,Master
4,1,5,1560.66,1078.58,1196.21,Master
4,2,4,1545.89,1069.06,1193.03,Master
4,3,3,1531.25,1059.63,1189.79,Master
4,4,2,1516.76,1050.29,1186.5,Master
4,5,1,1502.42,1041.04,1183.14,Master
4,6,0,1488.21,1031.88,1179.73,Master
5,0,5,1575.84,1078.58,1195.44,Master
5,1,4,1560.89,1069.06,1192.51,Master
5,2,3,1546.09,1059.63,1189.51,Master
5,3,2,1531.44,1050.29,1186.45,Master
5,4,1,1516.94,1041.04,1183.33,Master
5,5,0,1502.57,1031.88,1180.15,Master
6,0,4,1575.9,1069.06,1191.71,Master
6,1,3,1560.94,1059.63,1188.96,Master
6,2,2,1546.12,1050.29,1186.15,Master
6,3,1,1531.45,1041.04,1183.26,Master
6,4,0,1516.93,1031.88,1180.31,Master
7,0,3,1575.78,1059.63,1188.15,Master
7,1,2,1560.8,1050.29,1185.57,Master
7,2,1,1545.97,1041.04,1182.93,Master
7,3,0,1531.29,1031.88,1180.21,Master
8,0,2,1575.48,1050.29,1184.74,Master
8,1,1,1560.49,1041.04,1182.33,Master
8,2,0,1545.65,1031.88,1179.85,Master
9,0,1,1575.01,1041.04,1181.47,Master
9,1,0,1560.01,1031.88,1179.23,Master
10,0,0,1574.37,1031.88,1178.35,Master
0,0,10,1670.16,921.009,1070.84,Endless
0,1,9,1655.5,913.75,1073.97,Endless
0,2,8,1640.98,906.565,1076.95,Endless
0,3,7,1626.62,899.453,1079.79,Endless
0,4,6,1612.39,892.412,1082.49,Endless
0,5,5,1598.31,885.442,1085.04,Endless
0,6,4,1584.37,878.541,1087.47,Endless
0,7,3,1570.56,871.708,1089.75,Endless
0,8,2,1556.9,864.943,1091.9,Endless
0,9,1,1543.36,858.243,1093.92,Endless
0,10,0,1529.96,851.61,1095.82,Endless
1,0,9,1674.57,913.75,1071.24,Endless
