Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon1,Weapon2
0,0,10,2791.49,1662.95,2114.37,Master,Endless
0,1,9,2773.19,1652.39,2118.64,Master,Endless
0,2,8,2755.04,1641.91,2122.78,Master,Endless
0,3,7,2737.04,1631.53,2126.8,Master,Endless
0,4,6,2719.19,1621.23,2130.68,Master,Endless
0,5,5,2701.49,1611.01,2134.44,Master,Endless
0,6,4,2683.94,1600.88,2138.08,Master,Endless
0,7,3,2666.53,1590.83,2141.59,Master,Endless
0,8,2,2649.27,1580.87,2144.98,Master,Endless
0,9,1,2632.14,1570.98,2148.25,Master,Endless
0,10,0,2615.16,1561.18,2151.41,Master,Endless
1,0,9,2802.01,1652.39,2120.28,Master,Endless
1,1,8,2783.66,1641.91,2124.87,Master,Endless
1,2,7,2765.47,1631.53,2129.33,Master,Endless
1,3,6,2747.42,1621.23,2133.65,Master,Endless
1,4,5,2729.53,1611.01,2137.83,Master,Endless
1,5,4,2711.79,1600.88,2141.89,Master,Endless
1,6,3,2694.19,1590.83,2145.82,Master,Endless
1,7,2,2676.74,1580.87,2149.63,Master,Endless
1,8,1,2659.43,1570.98,2153.3,Master,Endless
1,9,0,2642.26,1561.18,2156.86,Master,Endless
2,0,8,2812.28,1641.91,2126.45,Master,Endless
2,1,7,2793.89,1631.53,2131.34,Master,Endless
2,2,6,2775.66,1621.23,2136.1,Master,Endless
2,3,5,2757.57,1611.01,2140.72,Master,Endless
2,4,4,2739.64,1600.88,2145.21,Master,Endless
2,5,3,2721.85,1590.83,2149.56,Master,Endless
2,6,2,2704.21,1580.87,2153.77,Master,Endless
2,7,1,2686.72,1570.98,2157.86,Master,Endless
2,8,0,2669.36,1561.18,2161.82,Master,Endless
3,0,7,2822.32,1631.53,2132.85,Master,Endless
3,1,6,2803.89,1621.23,2138.05,Master,Endless
3,2,5,2785.62,1611.01,2143.11,Master,Endless
3,3,4,2767.49,1600.88,2148.02,Master,Endless
3,4,3,2749.51,1590.83,2152.79,Master,Endless
3,5,2,2731.69,1580.87,2157.43,Master,Endless
3,6,1,2714,1570.98,2161.93,Master,Endless
3,7,0,2696.47,1561.18,2166.29,Master,Endless
4,0,6,2832.13,1621.23,2139.49,Master,Endless
4,1,5,2813.66,1611.01,2144.99,Master,Endless
4,2,4,2795.34,1600.88,2150.33,Master,Endless
4,3,3,2777.18,1590.83,2155.53,Master,Endless
4,4,2,2759.16,1580.87,2160.59,Master,Endless
4,5,1,2741.29,1570.98,2165.5,Master,Endless
4,6,0,2723.57,1561.18,2170.27,Master,Endless
5,0,5,2841.7,1611.01,2146.36,Master,Endless
5,1,4,2823.19,1600.88,2152.14,Master,Endless
5,2,3,2804.84,1590.83,2157.77,Master,Endless
5,3,2,2786.63,1580.87,2163.25,Master,Endless
5,4,1,2768.58,1570.98,2168.58,Master,Endless
5,5,0,2750.67,1561.18,2173.77,Master,Endless
6,0,4,2851.04,1600.88,2153.45,Master,Endless
6,1,3,2832.5,1590.83,2159.51,Master,Endless
6,2,2,2814.11,1580.87,2165.42,Master,Endless
6,3,1,2795.86,1570.98,2171.18,Master,Endless
6,4,0,2777.77,1561.18,2176.78,Master,Endless
7,0,3,2860.16,1590.83,2160.76,Master,Endless
7,1,2,2841.58,1580.87,2167.1,Master,Endless
7,2,1,2823.15,1570.98,2173.28,Master,Endless
7,3,0,2804.87,1561.18,2179.3,Master,Endless
8,0,2,2869.05,1580.87,2168.28,Master,Endless
8,1,1,2850.44,1570.98,2174.89,Master,Endless
8,2,0,2831.98,1561.18,2181.33,Master,Endless
9,0,1,2877.73,1570.98,2176.01,Master,Endless
9,1,0,2859.08,1561.18,2182.87,Master,Endless
10,0,0,2886.18,1561.18,2183.93,Master,Endless
0,0,10,3033.41,1507.79,1812.91,Black_Cut,Endless
0,1,9,3010,1496.69,1823.56,Black_Cut,Endless
0,2,8,2986.85,1485.71,1833.97,Black_Cut,Endless
0,3,7,2963.95,1474.85,1844.14,Black_Cut,Endless
0,4,6,2941.29,1464.1,1854.08,Black_Cut,Endless
0,5,5,2918.89,1453.48,1863.79,Black_Cut,Endless
0,6,4,2896.72,1442.97,1873.28,Black_Cut,Endless
0,7,3,2874.79,1432.57,1882.54,Black_Cut,Endless
0,8,2,2853.1,1422.28,1891.59,Black_Cut,Endless
0,9,1,2831.63,1412.1,1900.42,Black_Cut,Endless
0,10,0,2810.39,1402.03,1909.04,Black_Cut,Endless
1,0,9,3048.91,1496.69,1818,Black_Cut,Endless
1,1,8,3025.45,1485.71,1829.07,Black_Cut,Endless
1,2,7,3002.24,1474.85,1839.89,Black_Cut,Endless
1,3,6,2979.28,1464.1,1850.47,Black_Cut,Endless
1,4,5,2956.57,1453.48,1860.82,Black_Cut,Endless
1,5,4,2934.1,1442.97,1870.92,Black_Cut,Endless
1,6,3,2911.88,1432.57,1880.8,Black_Cut,Endless
1,7,2,2889.89,1422.28,1890.45,Black_Cut,Endless
1,8,1,2868.13,1412.1,1899.87,Black_Cut,Endless
1,9,0,2846.6,1402.03,1909.07,Black_Cut,Endless
2,0,8,3064.05,1485.71,1823.47,Black_Cut,Endless
2,1,7,3040.53,1474.85,1834.95,Black_Cut,Endless
2,2,6,3017.26,1464.1,1846.18,Black_Cut,Endless
2,3,5,2994.25,1453.48,1857.16,Black_Cut,Endless
2,4,4,2971.48,1442.97,1867.89,Black_Cut,Endless
2,5,3,2948.96,1432.57,1878.39,Black_Cut,Endless
2,6,2,2926.68,1422.28,1888.64,Black_Cut,Endless
2,7,1,2904.63,1412.1,1898.67,Black_Cut,Endless
2,8,0,2882.82,1402.03,1908.46,Black_Cut,Endless
3,0,7,3078.82,1474.85,1829.32,Black_Cut,Endless
3,1,6,3055.25,1464.1,1841.2,Black_Cut,Endless
3,2,5,3031.93,1453.48,1852.83,Black_Cut,Endless
3,3,4,3008.87,1442.97,1864.19,Black_Cut,Endless
3,4,3,2986.05,1432.57,1875.31,Black_Cut,Endless
3,5,2,2963.47,1422.28,1886.18,Black_Cut,Endless
