Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon
0,0,10,2276.44,1375.02,1375.02,Black_Cut
0,1,9,2255.93,1363.29,1377.57,Black_Cut
0,2,8,2235.67,1351.69,1379.98,Black_Cut
0,3,7,2215.67,1340.25,1382.27,Black_Cut
0,4,6,2195.9,1328.94,1384.42,Black_Cut
0,5,5,2176.38,1317.77,1386.46,Black_Cut
0,6,4,2157.1,1306.73,1388.37,Black_Cut
0,7,3,2138.05,1295.83,1390.16,Black_Cut
0,8,2,2119.22,1285.06,1391.83,Black_Cut
0,9,1,2100.63,1274.42,1393.39,Black_Cut
0,10,0,2082.25,1263.9,1394.84,Black_Cut
1,0,9,2288.07,1363.29,1369.76,Black_Cut
1,1,8,2267.5,1351.69,1372.76,Black_Cut
1,2,7,2247.18,1340.25,1375.62,Black_Cut
1,3,6,2227.11,1328.94,1378.34,Black_Cut
1,4,5,2207.29,1317.77,1380.92,Black_Cut
1,5,4,2187.71,1306.73,1383.38,Black_Cut
1,6,3,2168.37,1295.83,1385.7,Black_Cut
1,7,2,2149.25,1285.06,1387.9,Black_Cut
1,8,1,2130.37,1274.42,1389.97,Black_Cut
1,9,0,2111.71,1263.9,1391.92,Black_Cut
2,0,8,2299.32,1351.69,1364.96,Black_Cut
2,1,7,2278.7,1340.25,1368.4,Black_Cut
2,2,6,2258.33,1328.94,1371.69,Black_Cut
2,3,5,2238.2,1317.77,1374.83,Black_Cut
2,4,4,2218.33,1306.73,1377.84,Black_Cut
2,5,3,2198.69,1295.83,1380.7,Black_Cut
2,6,2,2179.28,1285.06,1383.43,Black_Cut
2,7,1,2160.11,1274.42,1386.02,Black_Cut
2,8,0,2141.17,1263.9,1388.47,Black_Cut
3,0,7,2310.21,1340.25,1360.61,Black_Cut
3,1,6,2289.54,1328.94,1364.48,Black_Cut
3,2,5,2269.11,1317.77,1368.19,Black_Cut
3,3,4,2248.94,1306.73,1371.75,Black_Cut
3,4,3,2229.01,1295.83,1375.15,Black_Cut
3,5,2,2209.31,1285.06,1378.41,Black_Cut
3,6,1,2189.86,1274.42,1381.53,Black_Cut
3,7,0,2170.63,1263.9,1384.5,Black_Cut
4,0,6,2320.75,1328.94,1356.71,Black_Cut
4,1,5,2300.02,1317.77,1360.99,Black_Cut
4,2,4,2279.55,1306.73,1365.1,Black_Cut
4,3,3,2259.33,1295.83,1369.06,Black_Cut
4,4,2,2239.34,1285.06,1372.86,Black_Cut
4,5,1,2219.6,1274.42,1376.5,Black_Cut
4,6,0,2200.09,1263.9,1379.99,Black_Cut
5,0,5,2330.93,1317.77,1353.23,Black_Cut
5,1,4,2310.16,1306.73,1357.91,Black_Cut
5,2,3,2289.65,1295.83,1362.42,Black_Cut
5,3,2,2269.37,1285.06,1366.76,Black_Cut
5,4,1,2249.34,1274.42,1370.94,Black_Cut
5,5,0,2229.55,1263.9,1374.95,Black_Cut
6,0,4,2340.78,1306.73,1350.16,Black_Cut
6,1,3,2319.97,1295.83,1355.23,Black_Cut
6,2,2,2299.4,1285.06,1360.12,Black_Cut
6,3,1,2279.09,1274.42,1364.84,Black_Cut
6,4,0,2259.01,1263.9,1369.38,Black_Cut
7,0,3,2350.29,1295.83,1347.5,Black_Cut
7,1,2,2329.43,1285.06,1352.95,Black_Cut
7,2,1,2308.83,1274.42,1358.21,Black_Cut
7,3,0,2288.47,1263.9,1363.29,Black_Cut
8,0,2,2359.46,1285.06,1345.23,Black_Cut
8,1,1,2338.57,1274.42,1351.04,Black_Cut
8,2,0,2317.93,1263.9,1356.66,Black_Cut
9,0,1,2368.32,1274.42,1343.33,Black_Cut
9,1,0,2347.39,1263.9,1349.5,Black_Cut
10,0,0,2376.85,1263.9,1341.81,Black_Cut
0,0,10,2258.79,1556.45,1696.92,Master
0,1,9,2240.44,1544.25,1694.62,Master
0,2,8,2222.27,1532.16,1692.27,Master
0,3,7,2204.29,1520.2,1689.86,Master
0,4,6,2186.49,1508.36,1687.39,Master
0,5,5,2168.87,1496.64,1684.86,Master
0,6,4,2151.43,1485.03,1682.29,Master
0,7,3,2134.15,1473.54,1679.65,Master
0,8,2,2117.05,1462.16,1676.97,Master
0,9,1,2100.11,1450.9,1674.23,Master
0,10,0,2083.34,1439.74,1671.44,Master
1,0,9,2265.5,1544.25,1693.55,Master
1,1,8,2247.12,1532.16,1691.6,Master
1,2,7,2228.92,1520.2,1689.59,Master
1,3,6,2210.91,1508.36,1687.51,Master
1,4,5,2193.07,1496.64,1685.37,Master
1,5,4,2175.42,1485.03,1683.17,Master
1,6,3,2157.93,1473.54,1680.91,Master
1,7,2,2140.63,1462.16,1678.59,Master
1,8,1,2123.49,1450.9,1676.22,Master
1,9,0,2106.51,1439.74,1673.78,Master
2,0,8,2271.96,1532.16,1690.48,Master
2,1,7,2253.55,1520.2,1688.87,Master
2,2,6,2235.32,1508.36,1687.19,Master
2,3,5,2217.27,1496.64,1685.45,Master
2,4,4,2199.41,1485.03,1683.63,Master
2,5,3,2181.72,1473.54,1681.75,Master
2,6,2,2164.2,1462.16,1679.8,Master
2,7,1,2146.86,1450.9,1677.78,Master
2,8,0,2129.68,1439.74,1675.7,Master
3,0,7,2278.17,1520.2,1687.71,Master
3,1,6,2259.73,1508.36,1686.44,Master
3,2,5,2241.47,1496.64,1685.08,Master
3,3,4,2223.4,1485.03,1683.65,Master
3,4,3,2205.5,1473.54,1682.15,Master
3,5,2,2187.78,1462.16,1680.57,Master
3,6,1,2170.23,1450.9,1678.93,Master
3,7,0,2152.85,1439.74,1677.21,Master
4,0,6,2284.14,1508.36,1685.24,Master
4,1,5,2265.67,1496.64,1684.28,Master
4,2,4,2247.39,1485.03,1683.25,Master
4,3,3,2229.28,1473.54,1682.13,Master
4,4,2,2211.35,1462.16,1680.93,Master
4,5,1,2193.6,1450.9,1679.65,Master
4,6,0,2176.02,1439.74,1678.3,Master
5,0,5,2289.87,1496.64,1683.05,Master
5,1,4,2271.38,1485.03,1682.41,Master
5,2,3,2253.06,1473.54,1681.67,Master
5,3,2,2234.93,1462.16,1680.86,Master
5,4,1,2216.97,1450.9,1679.95,Master
5,5,0,2199.19,1439.74,1678.97,Master
6,0,4,2295.37,1485.03,1681.13,Master
6,1,3,2276.84,1473.54,1680.79,Master
6,2,2,2258.5,1462.16,1680.36,Master
6,3,1,2240.34,1450.9,1679.84,Master
6,4,0,2222.36,1439.74,1679.22,Master
7,0,3,2300.63,1473.54,1679.49,Master
7,1,2,2282.08,1462.16,1679.44,Master
7,2,1,2263.72,1450.9,1679.3,Master
7,3,0,2245.53,1439.74,1679.06,Master
8,0,2,2305.66,1462.16,1678.1,Master
8,1,1,2287.09,1450.9,1678.34,Master
8,2,0,2268.7,1439.74,1678.48,Master
9,0,1,2310.46,1450.9,1676.96,Master
9,1,0,2291.87,1439.74,1677.49,Master
10,0,0,2315.04,1439.74,1676.07,Master
0,0,10,2287.6,1178.27,1400.14,Endless
0,1,9,2269.79,1169.7,1407.32,Endless
0,2,8,2252.15,1161.22,1414.31,Endless
0,3,7,2234.7,1152.82,1421.13,Endless
0,4,6,2217.42,1144.51,1427.75,Endless
0,5,5,2200.31,1136.27,1434.2,Endless
0,6,4,2183.37,1128.13,1440.48,Endless
0,7,3,2166.6,1120.06,1446.58,Endless
0,8,2,2150,1112.07,1452.51,Endless
0,9,1,2133.56,1104.16,1458.27,Endless
0,10,0,2117.28,1096.33,1463.87,Endless
1,0,9,2298.07,1169.7,1403.28,Endless
1,1,8,2280.2,1161.22,1410.75,Endless
1,2,7,2262.52,1152.82,1418.04,Endless
1,3,6,2245.01,1144.51,1425.13,Endless
1,4,5,2227.67,1136.27,1432.04,Endless
1,5,4,2210.51,1128.13,1438.77,Endless
1,6,3,2193.52,1120.06,1445.32,Endless
1,7,2,2176.69,1112.07,1451.68,Endless
1,8,1,2160.03,1104.16,1457.88,Endless
1,9,0,2143.53,1096.33,1463.89,Endless
2,0,8,2308.26,1161.22,1406.68,Endless
2,1,7,2290.34,1152.82,1414.45,Endless
2,2,6,2272.6,1144.51,1422.02,Endless
2,3,5,2255.03,1136.27,1429.39,Endless
2,4,4,2237.64,1128.13,1436.57,Endless
2,5,3,2220.43,1120.06,1443.57,Endless
2,6,2,2203.38,1112.07,1450.38,Endless
2,7,1,2186.5,1104.16,1457,Endless
2,8,0,2169.78,1096.33,1463.45,Endless
3,0,7,2318.16,1152.82,1410.36,Endless
3,1,6,2300.18,1144.51,1418.4,Endless
3,2,5,2282.39,1136.27,1426.24,Endless
3,3,4,2264.78,1128.13,1433.89,Endless
3,4,3,2247.34,1120.06,1441.33,Endless
3,5,2,2230.07,1112.07,1448.59,Endless
3,6,1,2212.97,1104.16,1455.65,Endless
3,7,0,2196.04,1096.33,1462.53,Endless
4,0,6,2327.77,1144.51,1414.29,Endless
4,1,5,2309.75,1136.27,1422.6,Endless
4,2,4,2291.91,1128.13,1430.71,Endless
4,3,3,2274.25,1120.06,1438.61,Endless
4,4,2,2256.76,1112.07,1446.32,Endless
4,5,1,2239.44,1104.16,1453.83,Endless
4,6,0,2222.29,1096.33,1461.14,Endless
5,0,5,2337.11,1136.27,1418.47,Endless
5,1,4,2319.05,1128.13,1427.05,Endless
5,2,3,2301.16,1120.06,1435.41,Endless
