Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon1,Weapon2
0,0,10,2472.03,1343.5,1794.91,Master,Endless
0,1,9,2455.08,1334.28,1800.53,Master,Endless
0,2,8,2438.27,1325.15,1806.02,Master,Endless
0,3,7,2421.6,1316.09,1811.36,Master,Endless
0,4,6,2405.07,1307.1,1816.56,Master,Endless
0,5,5,2388.67,1298.19,1821.62,Master,Endless
0,6,4,2372.42,1289.36,1826.55,Master,Endless
0,7,3,2356.29,1280.59,1831.35,Master,Endless
0,8,2,2340.3,1271.9,1836.02,Master,Endless
0,9,1,2324.44,1263.28,1840.55,Master,Endless
0,10,0,2308.71,1254.73,1844.96,Master,Endless
1,0,9,2483.9,1334.28,1802.18,Master,Endless
1,1,8,2466.89,1325.15,1808.1,Master,Endless
1,2,7,2450.03,1316.09,1813.89,Master,Endless
1,3,6,2433.3,1307.1,1819.52,Master,Endless
1,4,5,2416.72,1298.19,1825.02,Master,Endless
1,5,4,2400.27,1289.36,1830.37,Master,Endless
1,6,3,2383.95,1280.59,1835.58,Master,Endless
1,7,2,2367.78,1271.9,1840.66,Master,Endless
1,8,1,2351.73,1263.28,1845.6,Master,Endless
1,9,0,2335.81,1254.73,1850.41,Master,Endless
2,0,8,2495.52,1325.15,1809.68,Master,Endless
2,1,7,2478.45,1316.09,1815.9,Master,Endless
2,2,6,2461.53,1307.1,1821.98,Master,Endless
2,3,5,2444.76,1298.19,1827.91,Master,Endless
2,4,4,2428.12,1289.36,1833.68,Master,Endless
2,5,3,2411.62,1280.59,1839.32,Master,Endless
2,6,2,2395.25,1271.9,1844.81,Master,Endless
2,7,1,2379.02,1263.28,1850.16,Master,Endless
2,8,0,2362.92,1254.73,1855.37,Master,Endless
3,0,7,2506.88,1316.09,1817.41,Master,Endless
3,1,6,2489.77,1307.1,1823.93,Master,Endless
3,2,5,2472.8,1298.19,1830.29,Master,Endless
3,3,4,2455.97,1289.36,1836.5,Master,Endless
3,4,3,2439.28,1280.59,1842.56,Master,Endless
3,5,2,2422.72,1271.9,1848.46,Master,Endless
3,6,1,2406.3,1263.28,1854.22,Master,Endless
3,7,0,2390.02,1254.73,1859.84,Master,Endless
4,0,6,2518,1307.1,1825.37,Master,Endless
4,1,5,2500.84,1298.19,1832.17,Master,Endless
4,2,4,2483.82,1289.36,1838.81,Master,Endless
4,3,3,2466.94,1280.59,1845.29,Master,Endless
4,4,2,2450.19,1271.9,1851.62,Master,Endless
4,5,1,2433.59,1263.28,1857.8,Master,Endless
4,6,0,2417.12,1254.73,1863.82,Master,Endless
5,0,5,2528.88,1298.19,1833.54,Master,Endless
5,1,4,2511.67,1289.36,1840.62,Master,Endless
5,2,3,2494.6,1280.59,1847.53,Master,Endless
5,3,2,2477.67,1271.9,1854.29,Master,Endless
5,4,1,2460.88,1263.28,1860.88,Master,Endless
5,5,0,2444.22,1254.73,1867.32,Master,Endless
6,0,4,2539.52,1289.36,1841.93,Master,Endless
6,1,3,2522.26,1280.59,1849.28,Master,Endless
6,2,2,2505.14,1271.9,1856.46,Master,Endless
6,3,1,2488.16,1263.28,1863.47,Master,Endless
6,4,0,2471.32,1254.73,1870.33,Master,Endless
7,0,3,2549.92,1280.59,1850.52,Master,Endless
7,1,2,2532.61,1271.9,1858.13,Master,Endless
7,2,1,2515.45,1263.28,1865.58,Master,Endless
7,3,0,2498.43,1254.73,1872.85,Master,Endless
8,0,2,2560.09,1271.9,1859.32,Master,Endless
8,1,1,2542.74,1263.28,1867.19,Master,Endless
8,2,0,2525.53,1254.73,1874.88,Master,Endless
9,0,1,2570.02,1263.28,1868.3,Master,Endless
9,1,0,2552.63,1254.73,1876.43,Master,Endless
10,0,0,2579.73,1254.73,1877.48,Master,Endless
0,0,10,2615.36,1089.73,1394.86,Black_Cut,Endless
0,1,9,2594.25,1080.94,1407.82,Black_Cut,Endless
0,2,8,2573.38,1072.24,1420.51,Black_Cut,Endless
0,3,7,2552.74,1063.64,1432.94,Black_Cut,Endless
0,4,6,2532.33,1055.14,1445.11,Black_Cut,Endless
0,5,5,2512.13,1046.72,1457.04,Black_Cut,Endless
0,6,4,2492.15,1038.4,1468.71,Black_Cut,Endless
0,7,3,2472.39,1030.16,1480.13,Black_Cut,Endless
0,8,2,2452.83,1022.01,1491.32,Black_Cut,Endless
0,9,1,2433.48,1013.95,1502.27,Black_Cut,Endless
0,10,0,2414.34,1005.97,1512.98,Black_Cut,Endless
1,0,9,2633.17,1080.94,1402.25,Black_Cut,Endless
1,1,8,2611.99,1072.24,1415.61,Black_Cut,Endless
1,2,7,2591.03,1063.64,1428.69,Black_Cut,Endless
1,3,6,2570.31,1055.14,1441.51,Black_Cut,Endless
1,4,5,2549.81,1046.72,1454.06,Black_Cut,Endless
1,5,4,2529.53,1038.4,1466.35,Black_Cut,Endless
1,6,3,2509.47,1030.16,1478.39,Black_Cut,Endless
1,7,2,2489.62,1022.01,1490.18,Black_Cut,Endless
1,8,1,2469.98,1013.95,1501.72,Black_Cut,Endless
1,9,0,2450.55,1005.97,1513.02,Black_Cut,Endless
2,0,8,2650.59,1072.24,1410.01,Black_Cut,Endless
2,1,7,2629.33,1063.64,1423.75,Black_Cut,Endless
2,2,6,2608.3,1055.14,1437.21,Black_Cut,Endless
2,3,5,2587.49,1046.72,1450.4,Black_Cut,Endless
2,4,4,2566.92,1038.4,1463.32,Black_Cut,Endless
2,5,3,2546.56,1030.16,1475.98,Black_Cut,Endless
2,6,2,2526.41,1022.01,1488.38,Black_Cut,Endless
2,7,1,2506.49,1013.95,1500.52,Black_Cut,Endless
2,8,0,2486.77,1005.97,1512.4,Black_Cut,Endless
3,0,7,2667.62,1063.64,1418.12,Black_Cut,Endless
3,1,6,2646.28,1055.14,1432.24,Black_Cut,Endless
3,2,5,2625.18,1046.72,1446.07,Black_Cut,Endless
3,3,4,2604.3,1038.4,1459.62,Black_Cut,Endless
3,4,3,2583.64,1030.16,1472.9,Black_Cut,Endless
3,5,2,2563.21,1022.01,1485.91,Black_Cut,Endless
3,6,1,2542.99,1013.95,1498.66,Black_Cut,Endless
3,7,0,2522.98,1005.97,1511.14,Black_Cut,Endless
4,0,6,2684.27,1055.14,1426.58,Black_Cut,Endless
4,1,5,2662.86,1046.72,1441.06,Black_Cut,Endless
4,2,4,2641.68,1038.4,1455.25,Black_Cut,Endless
4,3,3,2620.73,1030.16,1469.16,Black_Cut,Endless
4,4,2,2600,1022.01,1482.78,Black_Cut,Endless
4,5,1,2579.49,1013.95,1496.14,Black_Cut,Endless
4,6,0,2559.2,1005.97,1509.22,Black_Cut,Endless
5,0,5,2700.54,1046.72,1435.37,Black_Cut,Endless
5,1,4,2679.06,1038.4,1450.2,Black_Cut,Endless
5,2,3,2657.81,1030.16,1464.74,Black_Cut,Endless
5,3,2,2636.79,1022.01,1479,Black_Cut,Endless
5,4,1,2615.99,1013.95,1492.96,Black_Cut,Endless
5,5,0,2595.41,1005.97,1506.65,Black_Cut,Endless
6,0,4,2716.44,1038.4,1444.48,Black_Cut,Endless
6,1,3,2694.9,1030.16,1459.66,Black_Cut,Endless
6,2,2,2673.58,1022.01,1474.54,Black_Cut,Endless
6,3,1,2652.49,1013.95,1489.13,Black_Cut,Endless
6,4,0,2631.63,1005.97,1503.42,Black_Cut,Endless
7,0,3,2731.99,1030.16,1453.91,Black_Cut,Endless
7,1,2,2710.38,1022.01,1469.43,Black_Cut,Endless
7,2,1,2689,1013.95,1484.64,Black_Cut,Endless
7,3,0,2667.84,1005.97,1499.55,Black_Cut,Endless
8,0,2,2747.17,1022.01,1463.65,Black_Cut,Endless
8,1,1,2725.5,1013.95,1479.49,Black_Cut,Endless
8,2,0,2704.06,1005.97,1495.02,Black_Cut,Endless
9,0,1,2762,1013.95,1473.69,Black_Cut,Endless
9,1,0,2740.27,1005.97,1489.84,Black_Cut,Endless
10,0,0,2776.49,1005.97,1484.01,Black_Cut,Endless
0,0,10,2645.83,1653.64,1852.08,Master,Black_Cut
0,1,9,2623.82,1639.89,1852.42,Master,Black_Cut
0,2,8,2602.05,1626.28,1852.66,Master,Black_Cut
0,3,7,2580.52,1612.83,1852.81,Master,Black_Cut
0,4,6,2559.23,1599.52,1852.88,Master,Black_Cut
0,5,5,2538.16,1586.35,1852.86,Master,Black_Cut
0,6,4,2517.32,1573.33,1852.75,Master,Black_Cut
0,7,3,2496.71,1560.44,1852.56,Master,Black_Cut
0,8,2,2476.31,1547.7,1852.28,Master,Black_Cut
0,9,1,2456.13,1535.08,1851.92,Master,Black_Cut
0,10,0,2436.16,1522.6,1851.48,Master,Black_Cut
1,0,9,2659.24,1639.89,1850.89,Master,Black_Cut
1,1,8,2637.18,1626.28,1851.71,Master,Black_Cut
1,2,7,2615.36,1612.83,1852.43,Master,Black_Cut
1,3,6,2593.78,1599.52,1853.05,Master,Black_Cut
1,4,5,2572.43,1586.35,1853.58,Master,Black_Cut
1,5,4,2551.31,1573.33,1854.01,Master,Black_Cut
1,6,3,2530.41,1560.44,1854.34,Master,Black_Cut
1,7,2,2509.74,1547.7,1854.59,Master,Black_Cut
1,8,1,2489.29,1535.08,1854.74,Master,Black_Cut
1,9,0,2469.05,1522.6,1854.81,Master,Black_Cut
2,0,8,2672.31,1626.28,1850.13,Master,Black_Cut
2,1,7,2650.2,1612.83,1851.42,Master,Black_Cut
2,2,6,2628.33,1599.52,1852.6,Master,Black_Cut
