Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon
0,0,10,1802.84,901.421,901.421,Black_Cut
0,1,9,1785.29,892.646,906.928,Black_Cut
0,2,8,1767.96,883.98,912.267,Black_Cut
0,3,7,1750.84,875.42,917.441,Black_Cut
0,4,6,1733.93,866.966,922.452,Black_Cut
0,5,5,1717.23,858.615,927.304,Black_Cut
0,6,4,1700.73,850.366,932.001,Black_Cut
0,7,3,1684.43,842.215,936.543,Black_Cut
0,8,2,1668.33,834.163,940.936,Black_Cut
0,9,1,1652.41,826.206,945.18,Black_Cut
0,10,0,1636.69,818.344,949.279,Black_Cut
1,0,9,1817.43,892.646,899.119,Black_Cut
1,1,8,1799.78,883.98,905.043,Black_Cut
1,2,7,1782.36,875.42,910.791,Black_Cut
1,3,6,1765.14,866.966,916.366,Black_Cut
1,4,5,1748.14,858.615,921.772,Black_Cut
1,5,4,1731.34,850.366,927.011,Black_Cut
1,6,3,1714.75,842.215,932.086,Black_Cut
1,7,2,1698.36,834.163,937.002,Black_Cut
1,8,1,1682.16,826.206,941.759,Black_Cut
1,9,0,1666.15,818.344,946.362,Black_Cut
2,0,8,1831.61,883.98,897.246,Black_Cut
2,1,7,1813.87,875.42,903.574,Black_Cut
2,2,6,1796.35,866.966,909.718,Black_Cut
2,3,5,1779.05,858.615,915.682,Black_Cut
2,4,4,1761.96,850.366,921.47,Black_Cut
2,5,3,1745.07,842.215,927.084,Black_Cut
2,6,2,1728.39,834.163,932.527,Black_Cut
2,7,1,1711.9,826.206,937.803,Black_Cut
2,8,0,1695.61,818.344,942.915,Black_Cut
3,0,7,1845.39,875.42,895.79,Black_Cut
3,1,6,1827.56,866.966,902.508,Black_Cut
3,2,5,1809.96,858.615,909.037,Black_Cut
3,3,4,1792.57,850.366,915.378,Black_Cut
3,4,3,1775.39,842.215,921.535,Black_Cut
3,5,2,1758.42,834.163,927.512,Black_Cut
3,6,1,1741.64,826.206,933.312,Black_Cut
3,7,0,1725.07,818.344,938.938,Black_Cut
4,0,6,1858.78,866.966,894.737,Black_Cut
4,1,5,1840.87,858.615,901.835,Black_Cut
4,2,4,1823.18,850.366,908.735,Black_Cut
4,3,3,1805.71,842.215,915.441,Black_Cut
4,4,2,1788.45,834.163,921.957,Black_Cut
4,5,1,1771.39,826.206,928.286,Black_Cut
4,6,0,1754.53,818.344,934.431,Black_Cut
5,0,5,1871.78,858.615,894.076,Black_Cut
5,1,4,1853.8,850.366,901.541,Black_Cut
5,2,3,1836.03,842.215,908.801,Black_Cut
