Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon
0,0,10,1171.37,585.687,585.687,Black_Cut
0,1,9,1157.77,578.886,588.149,Black_Cut
0,2,8,1144.34,572.17,590.48,Black_Cut
0,3,7,1131.07,565.537,592.683,Black_Cut
0,4,6,1117.97,558.985,594.76,Black_Cut
0,5,5,1105.03,552.514,596.715,Black_Cut
0,6,4,1092.24,546.12,598.548,Black_Cut
0,7,3,1079.61,539.804,600.262,Black_Cut
0,8,2,1067.13,533.564,601.86,Black_Cut
0,9,1,1054.79,527.397,603.343,Black_Cut
0,10,0,1042.61,521.304,604.713,Black_Cut
1,0,9,1178.61,578.886,583.084,Black_Cut
1,1,8,1164.94,572.17,585.804,Black_Cut
1,2,7,1151.43,565.537,588.387,Black_Cut
1,3,6,1138.09,558.985,590.836,Black_Cut
1,4,5,1124.92,552.514,593.154,Black_Cut
1,5,4,1111.9,546.12,595.343,Black_Cut
1,6,3,1099.04,539.804,597.406,Black_Cut
1,7,2,1086.34,533.564,599.343,Black_Cut
1,8,1,1073.78,527.397,601.159,Black_Cut
1,9,0,1061.38,521.304,602.855,Black_Cut
2,0,8,1185.54,572.17,580.757,Black_Cut
2,1,7,1171.79,565.537,583.725,Black_Cut
2,2,6,1158.22,558.985,586.55,Black_Cut
2,3,5,1144.81,552.514,589.236,Black_Cut
2,4,4,1131.56,546.12,591.785,Black_Cut
2,5,3,1118.47,539.804,594.199,Black_Cut
2,6,2,1105.54,533.564,596.481,Black_Cut
2,7,1,1092.77,527.397,598.634,Black_Cut
2,8,0,1080.14,521.304,600.659,Black_Cut
3,0,7,1192.15,565.537,578.696,Black_Cut
3,1,6,1178.34,558.985,581.901,Black_Cut
3,2,5,1164.7,552.514,584.959,Black_Cut
3,3,4,1151.22,546.12,587.872,Black_Cut
3,4,3,1137.91,539.804,590.643,Black_Cut
3,5,2,1124.75,533.564,593.274,Black_Cut
3,6,1,1111.75,527.397,595.767,Black_Cut
3,7,0,1098.91,521.304,598.126,Black_Cut
4,0,6,1198.46,558.985,576.891,Black_Cut
4,1,5,1184.59,552.514,580.325,Black_Cut
4,2,4,1170.88,546.12,583.606,Black_Cut
4,3,3,1157.34,539.804,586.737,Black_Cut
4,4,2,1143.96,533.564,589.72,Black_Cut
4,5,1,1130.74,527.397,592.558,Black_Cut
4,6,0,1117.68,521.304,595.254,Black_Cut
5,0,5,1204.48,552.514,575.332,Black_Cut
5,1,4,1190.54,546.12,578.986,Black_Cut
