Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon
0,0,10,1644.98,1059.29,1059.29,Black_Cut
0,1,9,1628.41,1049.53,1058.79,Black_Cut
0,2,8,1612.05,1039.88,1058.19,Black_Cut
0,3,7,1595.9,1030.36,1057.51,Black_Cut
0,4,6,1579.94,1020.96,1056.73,Black_Cut
0,5,5,1564.18,1011.67,1055.87,Black_Cut
0,6,4,1548.61,1002.49,1054.92,Black_Cut
0,7,3,1533.23,993.421,1053.88,Black_Cut
0,8,2,1518.03,984.462,1052.76,Black_Cut
0,9,1,1503.01,975.611,1051.56,Black_Cut
0,10,0,1488.17,966.863,1050.27,Black_Cut
1,0,9,1649.25,1049.53,1053.72,Black_Cut
1,1,8,1632.65,1039.88,1053.52,Black_Cut
1,2,7,1616.26,1030.36,1053.21,Black_Cut
1,3,6,1600.07,1020.96,1052.81,Black_Cut
1,4,5,1584.07,1011.67,1052.31,Black_Cut
1,5,4,1568.27,1002.49,1051.71,Black_Cut
1,6,3,1552.66,993.421,1051.02,Black_Cut
1,7,2,1537.23,984.462,1050.24,Black_Cut
1,8,1,1521.99,975.611,1049.37,Black_Cut
1,9,0,1506.93,966.863,1048.41,Black_Cut
2,0,8,1653.25,1039.88,1048.47,Black_Cut
2,1,7,1636.62,1030.36,1048.55,Black_Cut
2,2,6,1620.19,1020.96,1048.52,Black_Cut
2,3,5,1603.96,1011.67,1048.39,Black_Cut
2,4,4,1587.93,1002.49,1048.15,Black_Cut
2,5,3,1572.09,993.421,1047.82,Black_Cut
2,6,2,1556.44,984.462,1047.38,Black_Cut
2,7,1,1540.98,975.611,1046.85,Black_Cut
2,8,0,1525.7,966.863,1046.22,Black_Cut
3,0,7,1656.98,1030.36,1043.52,Black_Cut
3,1,6,1640.31,1020.96,1043.87,Black_Cut
3,2,5,1623.85,1011.67,1044.11,Black_Cut
3,3,4,1607.59,1002.49,1044.24,Black_Cut
3,4,3,1591.52,993.421,1044.26,Black_Cut
3,5,2,1575.65,984.462,1044.17,Black_Cut
3,6,1,1559.97,975.611,1043.98,Black_Cut
3,7,0,1544.47,966.863,1043.68,Black_Cut
4,0,6,1660.44,1020.96,1038.86,Black_Cut
4,1,5,1643.74,1011.67,1039.48,Black_Cut
4,2,4,1627.25,1002.49,1039.97,Black_Cut
4,3,3,1610.96,993.421,1040.35,Black_Cut
4,4,2,1594.86,984.462,1040.62,Black_Cut
4,5,1,1578.95,975.611,1040.77,Black_Cut
4,6,0,1563.24,966.863,1040.81,Black_Cut
5,0,5,1663.63,1011.67,1034.48,Black_Cut
5,1,4,1646.91,1002.49,1035.35,Black_Cut
5,2,3,1630.39,993.421,1036.1,Black_Cut
5,3,2,1614.07,984.462,1036.72,Black_Cut
5,4,1,1597.94,975.611,1037.22,Black_Cut
5,5,0,1582,966.863,1037.6,Black_Cut
6,0,4,1666.57,1002.49,1030.38,Black_Cut
6,1,3,1649.82,993.421,1031.49,Black_Cut
6,2,2,1633.28,984.462,1032.47,Black_Cut
6,3,1,1616.93,975.611,1033.33,Black_Cut
6,4,0,1600.77,966.863,1034.06,Black_Cut
7,0,3,1669.26,993.421,1026.54,Black_Cut
7,1,2,1652.48,984.462,1027.88,Black_Cut
7,2,1,1635.91,975.611,1029.09,Black_Cut
7,3,0,1619.54,966.863,1030.17,Black_Cut
8,0,2,1671.69,984.462,1022.95,Black_Cut
8,1,1,1654.9,975.611,1024.52,Black_Cut
8,2,0,1638.3,966.863,1025.95,Black_Cut
9,0,1,1673.88,975.611,1019.6,Black_Cut
9,1,0,1657.07,966.863,1021.39,Black_Cut
10,0,0,1675.84,966.863,1016.49,Black_Cut
0,0,10,1373.95,928.881,1017.89,Master
0,1,9,1361.26,921.019,1016.11,Master
0,2,8,1348.69,913.237,1014.26,Master
0,3,7,1336.26,905.534,1012.35,Master
0,4,6,1323.95,897.908,1010.38,Master
0,5,5,1311.76,890.358,1008.35,Master
0,6,4,1299.69,882.883,1006.26,Master
0,7,3,1287.74,875.483,1004.11,Master
0,8,2,1275.91,868.155,1001.9,Master
0,9,1,1264.2,860.899,999.635,Master
0,10,0,1252.6,853.714,997.313,Master
1,0,9,1377.11,921.019,1015.43,Master
1,1,8,1364.37,913.237,1013.84,Master
1,2,7,1351.76,905.534,1012.18,Master
1,3,6,1339.28,897.908,1010.46,Master
1,4,5,1326.93,890.358,1008.67,Master
1,5,4,1314.7,882.883,1006.81,Master
1,6,3,1302.58,875.483,1004.89,Master
1,7,2,1290.59,868.155,1002.91,Master
1,8,1,1278.72,860.899,1000.87,Master
1,9,0,1266.96,853.714,998.764,Master
2,0,8,1380.05,913.237,1013.13,Master
2,1,7,1367.27,905.534,1011.73,Master
2,2,6,1354.62,897.908,1010.26,Master
2,3,5,1342.1,890.358,1008.71,Master
2,4,4,1329.7,882.883,1007.1,Master
2,5,3,1317.43,875.483,1005.41,Master
2,6,2,1305.27,868.155,1003.66,Master
2,7,1,1293.24,860.899,1001.84,Master
2,8,0,1281.32,853.714,999.956,Master
3,0,7,1382.78,905.534,1011,Master
3,1,6,1369.96,897.908,1009.78,Master
3,2,5,1357.27,890.358,1008.49,Master
3,3,4,1344.71,882.883,1007.11,Master
3,4,3,1332.27,875.483,1005.67,Master
3,5,2,1319.95,868.155,1004.15,Master
3,6,1,1307.76,860.899,1002.55,Master
3,7,0,1295.68,853.714,1000.89,Master
4,0,6,1385.3,897.908,1009.03,Master
4,1,5,1372.44,890.358,1007.99,Master
4,2,4,1359.71,882.883,1006.86,Master
4,3,3,1347.11,875.483,1005.65,Master
4,4,2,1334.63,868.155,1004.37,Master
4,5,1,1322.28,860.899,1003,Master
4,6,0,1310.04,853.714,1001.56,Master
5,0,5,1387.61,890.358,1007.21,Master
5,1,4,1374.72,882.883,1006.33,Master
5,2,3,1361.95,875.483,1005.37,Master
5,3,2,1349.31,868.155,1004.32,Master
5,4,1,1336.79,860.899,1003.19,Master
5,5,0,1324.4,853.714,1001.98,Master
6,0,4,1389.72,882.883,1005.54,Master
6,1,3,1376.79,875.483,1004.82,Master
6,2,2,1363.99,868.155,1004.01,Master
6,3,1,1351.31,860.899,1003.12,Master
6,4,0,1338.76,853.714,1002.14,Master
7,0,3,1391.63,875.483,1004,Master
7,1,2,1378.67,868.155,1003.44,Master
7,2,1,1365.83,860.899,1002.79,Master
7,3,0,1353.12,853.714,1002.04,Master
8,0,2,1393.35,868.155,1002.6,Master
8,1,1,1380.35,860.899,1002.19,Master
8,2,0,1367.48,853.714,1001.68,Master
9,0,1,1394.87,860.899,1001.33,Master
9,1,0,1381.84,853.714,1001.06,Master
10,0,0,1396.2,853.714,1000.19,Master
0,0,10,1670.16,921.009,1070.84,Endless
0,1,9,1655.5,913.75,1073.97,Endless
0,2,8,1640.98,906.565,1076.95,Endless
0,3,7,1626.62,899.453,1079.79,Endless
0,4,6,1612.39,892.412,1082.49,Endless
0,5,5,1598.31,885.442,1085.04,Endless
0,6,4,1584.37,878.541,1087.47,Endless
0,7,3,1570.56,871.708,1089.75,Endless
0,8,2,1556.9,864.943,1091.9,Endless
0,9,1,1543.36,858.243,1093.92,Endless
0,10,0,1529.96,851.61,1095.82,Endless
1,0,9,1674.57,913.75,1071.24,Endless
1,1,8,1659.87,906.565,1074.55,Endless
1,2,7,1645.31,899.453,1077.71,Endless
1,3,6,1630.91,892.412,1080.73,Endless
