Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon
0,0,10,2276.44,1375.02,1375.02,Black_Cut
0,1,9,2255.93,1363.29,1377.57,Black_Cut
0,2,8,2235.67,1351.69,1379.98,Black_Cut
0,3,7,2215.67,1340.25,1382.27,Black_Cut
0,4,6,2195.9,1328.94,1384.42,Black_Cut
0,5,5,2176.38,1317.77,1386.46,Black_Cut
0,6,4,2157.1,1306.73,1388.37,Black_Cut
0,7,3,2138.05,1295.83,1390.16,Black_Cut
0,8,2,2119.22,1285.06,1391.83,Black_Cut
0,9,1,2100.63,1274.42,1393.39,Black_Cut
0,10,0,2082.25,1263.9,1394.84,Black_Cut
1,0,9,2288.07,1363.29,1369.76,Black_Cut
1,1,8,2267.5,1351.69,1372.76,Black_Cut
1,2,7,2247.18,1340.25,1375.62,Black_Cut
1,3,6,2227.11,1328.94,1378.34,Black_Cut
1,4,5,2207.29,1317.77,1380.92,Black_Cut
1,5,4,2187.71,1306.73,1383.38,Black_Cut
1,6,3,2168.37,1295.83,1385.7,Black_Cut
1,7,2,2149.25,1285.06,1387.9,Black_Cut
1,8,1,2130.37,1274.42,1389.97,Black_Cut
1,9,0,2111.71,1263.9,1391.92,Black_Cut
2,0,8,2299.32,1351.69,1364.96,Black_Cut
2,1,7,2278.7,1340.25,1368.4,Black_Cut
2,2,6,2258.33,1328.94,1371.69,Black_Cut
2,3,5,2238.2,1317.77,1374.83,Black_Cut
2,4,4,2218.33,1306.73,1377.84,Black_Cut
2,5,3,2198.69,1295.83,1380.7,Black_Cut
2,6,2,2179.28,1285.06,1383.43,Black_Cut
2,7,1,2160.11,1274.42,1386.02,Black_Cut
2,8,0,2141.17,1263.9,1388.47,Black_Cut
3,0,7,2310.21,1340.25,1360.61,Black_Cut
3,1,6,2289.54,1328.94,1364.48,Black_Cut
3,2,5,2269.11,1317.77,1368.19,Black_Cut
3,3,4,2248.94,1306.73,1371.75,Black_Cut
3,4,3,2229.01,1295.83,1375.15,Black_Cut
3,5,2,2209.31,1285.06,1378.41,Black_Cut
3,6,1,2189.86,1274.42,1381.53,Black_Cut
3,7,0,2170.63,1263.9,1384.5,Black_Cut
4,0,6,2320.75,1328.94,1356.71,Black_Cut
4,1,5,2300.02,1317.77,1360.99,Black_Cut
4,2,4,2279.55,1306.73,1365.1,Black_Cut
4,3,3,2259.33,1295.83,1369.06,Black_Cut
4,4,2,2239.34,1285.06,1372.86,Black_Cut
4,5,1,2219.6,1274.42,1376.5,Black_Cut
4,6,0,2200.09,1263.9,1379.99,Black_Cut
5,0,5,2330.93,1317.77,1353.23,Black_Cut
5,1,4,2310.16,1306.73,1357.91,Black_Cut
5,2,3,2289.65,1295.83,1362.42,Black_Cut
5,3,2,2269.37,1285.06,1366.76,Black_Cut
5,4,1,2249.34,1274.42,1370.94,Black_Cut
5,5,0,2229.55,1263.9,1374.95,Black_Cut
6,0,4,2340.78,1306.73,1350.16,Black_Cut
6,1,3,2319.97,1295.83,1355.23,Black_Cut
6,2,2,2299.4,1285.06,1360.12,Black_Cut
6,3,1,2279.09,1274.42,1364.84,Black_Cut
6,4,0,2259.01,1263.9,1369.38,Black_Cut
7,0,3,2350.29,1295.83,1347.5,Black_Cut
7,1,2,2329.43,1285.06,1352.95,Black_Cut
7,2,1,2308.83,1274.42,1358.21,Black_Cut
7,3,0,2288.47,1263.9,1363.29,Black_Cut
8,0,2,2359.46,1285.06,1345.23,Black_Cut
8,1,1,2338.57,1274.42,1351.04,Black_Cut
8,2,0,2317.93,1263.9,1356.66,Black_Cut
9,0,1,2368.32,1274.42,1343.33,Black_Cut
9,1,0,2347.39,1263.9,1349.5,Black_Cut
10,0,0,2376.85,1263.9,1341.81,Black_Cut
0,0,10,1945.08,1242.74,1383.21,Master
0,1,9,1929.47,1233.28,1383.66,Master
0,2,8,1914.02,1223.91,1384.02,Master
0,3,7,1898.73,1214.64,1384.3,Master
0,4,6,1883.59,1205.46,1384.49,Master
0,5,5,1868.61,1196.37,1384.6,Master
0,6,4,1853.77,1187.38,1384.63,Master
0,7,3,1839.08,1178.47,1384.58,Master
0,8,2,1824.53,1169.65,1384.45,Master
0,9,1,1810.13,1160.92,1384.25,Master
0,10,0,1795.87,1152.27,1383.96,Master
1,0,9,1954.53,1233.28,1382.58,Master
1,1,8,1938.87,1223.91,1383.35,Master
1,2,7,1923.36,1214.64,1384.03,Master
1,3,6,1908.01,1205.46,1384.61,Master
1,4,5,1892.81,1196.37,1385.11,Master
1,5,4,1877.76,1187.38,1385.52,Master
1,6,3,1862.86,1178.47,1385.84,Master
1,7,2,1848.11,1169.65,1386.08,Master
1,8,1,1833.5,1160.92,1386.23,Master
1,9,0,1819.04,1152.27,1386.3,Master
2,0,8,1963.71,1223.91,1382.23,Master
2,1,7,1947.99,1214.64,1383.31,Master
2,2,6,1932.42,1205.46,1384.29,Master
2,3,5,1917.01,1196.37,1385.18,Master
2,4,4,1901.75,1187.38,1385.97,Master
2,5,3,1886.64,1178.47,1386.67,Master
2,6,2,1871.69,1169.65,1387.28,Master
2,7,1,1856.87,1160.92,1387.8,Master
2,8,0,1842.21,1152.27,1388.23,Master
3,0,7,1972.61,1214.64,1382.15,Master
3,1,6,1956.83,1205.46,1383.54,Master
3,2,5,1941.21,1196.37,1384.82,Master
3,3,4,1925.74,1187.38,1386,Master
3,4,3,1910.43,1178.47,1387.08,Master
3,5,2,1895.26,1169.65,1388.06,Master
3,6,1,1880.25,1160.92,1388.94,Master
3,7,0,1865.38,1152.27,1389.73,Master
4,0,6,1981.25,1205.46,1382.34,Master
4,1,5,1965.41,1196.37,1384.02,Master
4,2,4,1949.73,1187.38,1385.59,Master
4,3,3,1934.21,1178.47,1387.05,Master
4,4,2,1918.84,1169.65,1388.41,Master
4,5,1,1903.62,1160.92,1389.67,Master
4,6,0,1888.55,1152.27,1390.82,Master
5,0,5,1989.61,1196.37,1382.78,Master
5,1,4,1973.72,1187.38,1384.75,Master
5,2,3,1957.99,1178.47,1386.6,Master
5,3,2,1942.41,1169.65,1388.34,Master
5,4,1,1926.99,1160.92,1389.97,Master
5,5,0,1911.72,1152.27,1391.49,Master
6,0,4,1997.71,1187.38,1383.48,Master
6,1,3,1981.77,1178.47,1385.72,Master
6,2,2,1965.99,1169.65,1387.85,Master
6,3,1,1950.36,1160.92,1389.86,Master
6,4,0,1934.89,1152.27,1391.75,Master
7,0,3,2005.55,1178.47,1384.41,Master
7,1,2,1989.57,1169.65,1386.93,Master
7,2,1,1973.73,1160.92,1389.32,Master
7,3,0,1958.06,1152.27,1391.59,Master
8,0,2,2013.14,1169.65,1385.58,Master
8,1,1,1997.11,1160.92,1388.36,Master
8,2,0,1981.23,1152.27,1391.01,Master
9,0,1,2020.48,1160.92,1386.98,Master
9,1,0,2004.4,1152.27,1390.01,Master
10,0,0,2027.57,1152.27,1388.6,Master
0,0,10,2287.6,1178.27,1400.14,Endless
0,1,9,2269.79,1169.7,1407.32,Endless
0,2,8,2252.15,1161.22,1414.31,Endless
0,3,7,2234.7,1152.82,1421.13,Endless
0,4,6,2217.42,1144.51,1427.75,Endless
0,5,5,2200.31,1136.27,1434.2,Endless
0,6,4,2183.37,1128.13,1440.48,Endless
0,7,3,2166.6,1120.06,1446.58,Endless
0,8,2,2150,1112.07,1452.51,Endless
0,9,1,2133.56,1104.16,1458.27,Endless
0,10,0,2117.28,1096.33,1463.87,Endless
1,0,9,2298.07,1169.7,1403.28,Endless
1,1,8,2280.2,1161.22,1410.75,Endless
1,2,7,2262.52,1152.82,1418.04,Endless
1,3,6,2245.01,1144.51,1425.13,Endless
1,4,5,2227.67,1136.27,1432.04,Endless
1,5,4,2210.51,1128.13,1438.77,Endless
1,6,3,2193.52,1120.06,1445.32,Endless
1,7,2,2176.69,1112.07,1451.68,Endless
1,8,1,2160.03,1104.16,1457.88,Endless
1,9,0,2143.53,1096.33,1463.89,Endless
2,0,8,2308.26,1161.22,1406.68,Endless
2,1,7,2290.34,1152.82,1414.45,Endless
2,2,6,2272.6,1144.51,1422.02,Endless
2,3,5,2255.03,1136.27,1429.39,Endless
2,4,4,2237.64,1128.13,1436.57,Endless
2,5,3,2220.43,1120.06,1443.57,Endless
2,6,2,2203.38,1112.07,1450.38,Endless
2,7,1,2186.5,1104.16,1457,Endless
2,8,0,2169.78,1096.33,1463.45,Endless
3,0,7,2318.16,1152.82,1410.36,Endless
3,1,6,2300.18,1144.51,1418.4,Endless
3,2,5,2282.39,1136.27,1426.24,Endless
3,3,4,2264.78,1128.13,1433.89,Endless
3,4,3,2247.34,1120.06,1441.33,Endless
3,5,2,2230.07,1112.07,1448.59,Endless
3,6,1,2212.97,1104.16,1455.65,Endless
3,7,0,2196.04,1096.33,1462.53,Endless
4,0,6,2327.77,1144.51,1414.29,Endless
4,1,5,2309.75,1136.27,1422.6,Endless
4,2,4,2291.91,1128.13,1430.71,Endless
4,3,3,2274.25,1120.06,1438.61,Endless
4,4,2,2256.76,1112.07,1446.32,Endless
4,5,1,2239.44,1104.16,1453.83,Endless
4,6,0,2222.29,1096.33,1461.14,Endless
5,0,5,2337.11,1136.27,1418.47,Endless
5,1,4,2319.05,1128.13,1427.05,Endless
5,2,3,2301.16,1120.06,1435.41,Endless
